"Name","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR","playerid"
"Yimi Garcia","8","0","1","10.0","25.0 %","2.8 %","22.2 %","1.80","4.23","0.70","-0.1","12095"
"Scott Elbert","7","0","1","4.1","11.1 %","5.6 %","5.6 %","2.08","2.90","1.15","0.0","7489"
"J.P. Howell","68","0","27","49.0","24.1 %","12.6 %","11.6 %","2.39","3.30","1.14","0.2","8245"
"Brandon League","63","0","11","63.0","13.9 %","9.9 %","4.0 %","2.57","3.40","1.46","0.1","3731"
"Pedro Baez","20","0","5","24.0","19.6 %","5.4 %","14.1 %","2.63","3.88","0.88","0.0","5420"
"Kenley Jansen","68","44","0","65.1","37.7 %","7.1 %","30.6 %","2.76","1.91","1.13","2.0","3096"
"Chris Withrow","20","0","6","21.1","31.1 %","20.0 %","11.1 %","2.95","3.79","1.31","-0.1","7161"
"Paco Rodriguez","19","0","4","14.0","26.4 %","7.6 %","18.9 %","3.86","2.92","1.14","0.1","13398"
"Daniel Coulombe","5","0","0","4.1","18.2 %","9.1 %","9.1 %","4.15","5.67","1.62","-0.1","13293"
"Chris Perez","49","1","6","46.1","19.5 %","12.5 %","7.0 %","4.27","5.07","1.36","-0.8","5213"
"Jamey Wright","60","1","5","68.1","17.2 %","8.4 %","8.8 %","4.35","3.48","1.38","0.1","715"
"Brian Wilson","61","1","22","48.1","24.2 %","13.0 %","11.2 %","4.66","4.29","1.61","-0.4","6485"
"Carlos Frias","13","0","1","25.2","24.0 %","5.8 %","18.3 %","4.91","3.40","1.01","0.0","3547"
"Paul Maholm","22","0","0","27.0","14.4 %","8.5 %","5.9 %","5.00","3.21","1.52","0.1","8678"
"Kevin Correia","6","0","0","10.2","11.3 %","11.3 %","0.0 %","10.13","7.35","1.97","-0.5","1767"
"Drew Butera","2","0","0","1.2","28.6 %","0.0 %","28.6 %","10.80","8.53","1.20","-0.1","3411"
"Jose Dominguez","5","0","0","6.1","26.7 %","10.0 %","16.7 %","11.37","6.61","1.58","-0.1","11571"
